Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry
IOT,Samsara Inc.,203.15385,1.589,4.23,29642479616,Technology,Software - Infrastructure
IP,International Paper Company,18.52,1.491,6.78,29294344192,Consumer Cyclical,Packaging & Containers
IPI,"Intrepid Potash, Inc",-149.94118,4.405,2.31,337158784,Basic Materials,Agricultural Inputs
IQV,"IQVIA Holdings, Inc.",15.827672,0.838,2.16,33642143744,Healthcare,Diagnostics & Research
IR,Ingersoll Rand Inc.,23.641243,2.289,3.63,33734017024,Industrials,Specialty Industrial Machinery
IRM,Iron Mountain Incorporated (Del,46.82653,0.548,4.13,26959548416,Real Estate,REIT - Specialty
IRS,IRSA Inversiones Y Representaci,-4.968421,0.321,0.65,1157095680,Real Estate,Real Estate Services
IRT,"Independence Realty Trust, Inc.",75.55555,1.296,14.51,4831862272,Real Estate,REIT - Residential
IT,"Gartner, Inc.",36.990147,1.057,3.82,37479600128,Technology,Information Technology Services
ITGR,Integer Holdings Corporation,21.430693,2.954,10.74,4365891584,Healthcare,Medical Devices
ITT,ITT Inc.,21.768404,1.399,3.13,11553101824,Industrials,Specialty Industrial Machinery
ITW,Illinois Tool Works Inc.,24.699066,1.359,6.66,77566181376,Industrials,Specialty Industrial Machinery
IVR,INVESCO MORTGAGE CAPITAL INC,3.0204082,0.049,5.84,548159744,Real Estate,REIT - Mortgage
IVT,InvenTrust Properties Corp.,98.96667,1.344,3.55,2299796480,Real Estate,REIT - Retail
IX,Orix Corp,8.50937,4.38,3.94,23164612608,Financial Services,Financial Conglomerates
J,Jacobs Solutions Inc.,19.407518,1.255,2.66,15815528448,Industrials,Engineering & Construction
JBGS,JBG SMITH Properties,-9.097561,1.268,14.68,1230213632,Real Estate,REIT - Office
JBI,"Janus International Group, Inc.",18.547619,2.797,7.3,1098974336,Industrials,Building Products & Equipment
JBL,Jabil Inc.,16.244755,1.064,1.78,17811486720,Technology,Electronic Components
JBTM,JBT Marel Corporation,23.181286,2.547,3.15,6169331712,Industrials,Specialty Industrial Machinery
JCI,Johnson Controls International ,20.353222,1.019,2.39,56296652800,Industrials,Building Products & Equipment
JEF,Jefferies Financial Group Inc.,14.680091,1.536,1.95,13527432192,Financial Services,Capital Markets
JELD,"JELD-WEN Holding, Inc.",5.1652174,1.92,3.81,504008992,Industrials,Building Products & Equipment
JHG,Janus Henderson Group plc,11.563537,330.702,4.52,6653898240,Financial Services,Asset Management
JHX,James Hardie Industries plc,17.412088,2.177,0.72,13956433920,Basic Materials,Building Materials
JILL,"J. Jill, Inc.",6.4438505,0.968,5.37,369703648,Consumer Cyclical,Apparel Retail
JKS,JinkoSolar Holding Company Limi,11.948187,1.218,7.04,1137111680,Technology,Solar
JLL,Jones Lang LaSalle Incorporated,16.197157,1.047,2.08,12419969024,Real Estate,Real Estate Services
JMIA,Jumia Technologies AG,-8.117647,1.769,2.83,337997888,Consumer Cyclical,Internet Retail
JNJ,Johnson & Johnson,15.31132,1.111,1.98,390756761600,Healthcare,Drug Manufacturers - General
JNPR,"Juniper Networks, Inc.",18.17677,1.456,2.04,11915893760,Technology,Communication Equipment
JOBY,"Joby Aviation, Inc.",-11.633333,16.121,4.23,5340300288,Industrials,Airports & Air Services
JOE,St. Joe Company (The),421.36362,2.963,3.22,2706724096,Real Estate,Real Estate - Diversified
JWN,"Nordstrom, Inc.",12.221106,1.142,2.85,4013943296,Consumer Cyclical,Department Stores
JXN,Jackson Financial Inc.,3.9468596,1.57,5.63,5995194880,Financial Services,Insurance - Life
K,Kellanova,68.88333,0.806,3.24,28492736512,Consumer Defensive,Packaged Foods
KAI,Kadant Inc,36.15312,7.891,12.21,4492577280,Industrials,Specialty Industrial Machinery
KAR,"OPENLANE, Inc.",21.791668,1.111,8.13,2236578048,Consumer Cyclical,Auto & Truck Dealerships
KBH,KB Home,6.731868,6.323,2.6,4420325376,Consumer Cyclical,Residential Construction
KBR,"KBR, Inc.",12.6649475,1.073,1.59,6547511808,Industrials,Engineering & Construction
KD,"Kyndryl Holdings, Inc.",28.459257,1.092,2.96,8940102656,Technology,Information Technology Services
KEN,Kenon Holdings Ltd.,-24.704544,3.78,0.77,1695720064,Utilities,Utilities - Independent Power Producers
KEP,Korea Electric Power Corporatio,1.6422414,0.429,3.69,9806101504,Utilities,Utilities - Regulated Electric
KEX,Kirby Corporation,15.1458025,1.454,1.64,5874837504,Industrials,Marine Shipping
KEYS,Keysight Technologies Inc.,25.172167,2.983,2.6,30336534528,Technology,Scientific & Technical Instruments
KFRC,"Kforce, Inc.",17.084507,2.004,8.53,925761600,Industrials,Staffing & Employment Services
KFY,Korn Ferry,11.992552,2.065,3.86,3321945344,Industrials,Staffing & Employment Services
KGC,Kinross Gold Corporation,12.465909,2.006,0.55,13542685696,Basic Materials,Gold
KGS,"Kodiak Gas Services, Inc.",23.24468,1.271,2.88,3815726848,Energy,Oil & Gas Equipment & Services
KIM,Kimco Realty Corporation (HC),30.742859,3.574,3.41,14622711808,Real Estate,REIT - Retail
KIND,"Nextdoor Holdings, Inc.",-16.0625,17.528,2.82,982107520,Communication Services,Internet Content & Information
KLC,"KinderCare Learning Companies, ",30.781252,0.6,3.77,2323930368,Consumer Defensive,Education & Training Services
KLG,WK Kellogg Co,14.366906,0.736,12.77,1719440896,Consumer Defensive,Packaged Foods
KMB,Kimberly-Clark Corporation,18.382698,0.797,2.31,46522134528,Consumer Defensive,Household & Personal Products
KMI,"Kinder Morgan, Inc.",20.960318,0.494,2.84,58681962496,Energy,Oil & Gas Midstream
KMPR,Kemper Corporation,10.634107,0.608,3.66,4104335872,Financial Services,Insurance - Property & Casualty
KMT,Kennametal Inc.,13.478788,2.535,6.21,1720493184,Industrials,Tools & Accessories
KMX,CarMax Inc,21.912468,2.298,7.38,12705418240,Consumer Cyclical,Auto & Truck Dealerships
KN,Knowles Corporation,14.7731085,1.829,5.92,1541119104,Technology,Electronic Components
KNF,Knife Riv Holding Co.,22.735939,2.669,4.35,5264414720,Basic Materials,Building Materials
KNOP,KNOT Offshore Partners LP,12.833333,0.438,3.1,188314736,Energy,Oil & Gas Midstream
KNSL,"Kinsale Capital Group, Inc.",23.873537,0.194,6.9,9979607040,Financial Services,Insurance - Property & Casualty
KNTK,Kinetik Holdings Inc.,25.334764,0.717,4.43,3527296256,Energy,Oil & Gas Midstream
KNX,Knight-Swift Transportation Hol,24.82381,0.849,3.1,8443809280,Industrials,Trucking
KO,Coca-Cola Company (The),24.02357,1.03,1.87,306876350464,Consumer Defensive,Beverages - Non-Alcoholic
KOF,Coca Cola Femsa S.A.B. de C.V.,13.494656,1.119,2.25,18569236480,Consumer Defensive,Beverages - Non-Alcoholic
KOP,Koppers Holdings Inc.,6.8303165,2.544,4.58,611918080,Basic Materials,Specialty Chemicals
KORE,"KORE Group Holdings, Inc.",-1.7720588,1.295,0.51,40990244,Communication Services,Telecom Services
KOS,Kosmos Energy Ltd.,4.7462687,0.748,5.58,1500626176,Energy,Oil & Gas E&P
KR,Kroger Company (The),14.20524,1.538,8.52,47077806080,Consumer Defensive,Grocery Stores
KRC,Kilroy Realty Corporation,25.410852,1.825,6.86,3910227712,Real Estate,REIT - Office
KREF,KKR Real Estate Finance Trust I,10.495239,134.419,2.59,757223872,Real Estate,REIT - Mortgage
KRG,Kite Realty Group Trust,62.657146,1.204,4.53,4909184000,Real Estate,REIT - Retail
KRO,Kronos Worldwide Inc,9.030928,2.681,3.91,1007715392,Basic Materials,Specialty Chemicals
KRP,Kimbell Royalty Partners,20.763157,5.196,0.65,1664695296,Energy,Oil & Gas E&P
KSS,Kohl's Corporation,6.005,1.051,6.28,1336929152,Consumer Cyclical,Department Stores
KT,KT Corporation,5.2818184,1.03,3.96,8569738240,Communication Services,Telecom Services
KTB,"Kontoor Brands, Inc.",15.900542,2.495,6.75,4848591872,Consumer Cyclical,Apparel Manufacturing
KVYO,"Klaviyo, Inc. Series A",74.73214,6.437,5.64,11429862400,Technology,Software - Infrastructure
KW,Kennedy-Wilson Holdings Inc.,-8.308412,1.207,5.6,1221592704,Real Estate,Real Estate Services
KWR,Quaker Houghton,16.136673,2.536,9.93,2520175360,Basic Materials,Specialty Chemicals
KYN,Kayne Anderson MLP/Midstream In,4.4548607,0.042,0.35,2169886464,Financial Services,Asset Management
L,Loews Corporation,28.537931,0.506,3.01,17459132416,Financial Services,Insurance - Property & Casualty
LAC,Lithium Americas Corp.,-10.206897,13.875,5.96,646973120,Basic Materials,Other Industrial Metals & Mining
LAD,"Lithia Motors, Inc.",9.958476,1.186,4.41,9326749696,Consumer Cyclical,Auto & Truck Dealerships
