Symbol,shortName,forwardPE,currentRatio,shortRatio,marketCap,sector,industry,sentiment,confidence
LAD,"Lithia Motors, Inc.",8.84471,1.179,6.65,8094996480,Consumer Cyclical,Auto & Truck Dealerships,neutral,0.4241849184036255
LADR,Ladder Capital Corp,8.812,15.605,3.37,1404104064,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
LANV,Lanvin Group Holdings Limited,-2.201869,0.397,1.25,296787680,Consumer Cyclical,Luxury Goods,neutral,0.4241849184036255
LAR,Lithium Argentina AG,16.819172,0.553,9.98,463050208,Basic Materials,Other Industrial Metals & Mining,neutral,0.4241849184036255
LAW,"CS Disco, Inc.",-15.148149,7.501,3.34,248701056,Technology,Software - Application,neutral,0.4241849184036255
LAZ,"Lazard, Inc.",13.052956,7.506,5.22,4989341184,Financial Services,Capital Markets,neutral,0.4241849184036255
LB,LandBridge Company LLC,36.169464,3.696,9.28,4117219840,Energy,Oil & Gas Equipment & Services,neutral,0.4241849184036255
LBRT,Liberty Energy Inc.,8.952756,1.198,2.57,1841416960,Energy,Oil & Gas Equipment & Services,neutral,0.4241849184036255
LC,LendingClub Corporation,15.244048,3.966,3.39,1462331008,Financial Services,Banks - Regional,neutral,0.4241849184036255
LCII,LCI Industries,14.591778,2.964,7.46,2507870208,Consumer Cyclical,Recreational Vehicles,neutral,0.4241849184036255
LDI,"loanDepot, Inc.",10.421053,1.255,2.68,653223808,Financial Services,Mortgage Finance,neutral,0.4241849184036255
LDOS,"Leidos Holdings, Inc.",15.469378,1.536,2.79,20808069120,Technology,Information Technology Services,neutral,0.4241849184036255
LEA,Lear Corporation,7.6566396,1.32,2.16,5579450880,Consumer Cyclical,Auto Parts,neutral,0.4241849184036255
LEG,"Leggett & Platt, Incorporated",8.572034,2.202,4.83,1366991616,Consumer Cyclical,"Furnishings, Fixtures & Appliances",neutral,0.4241849184036255
LEN,Lennar Corporation,7.275093,10.108,4.0,30236354560,Consumer Cyclical,Residential Construction,neutral,0.4241849184036255
LEVI,Levi Strauss & Co,14.810715,1.499,3.6,8203886080,Consumer Cyclical,Apparel Manufacturing,neutral,0.4241849184036255
LFT,"Lument Finance Trust, Inc.",5.894737,114.555,1.05,117206880,Real Estate,REIT - Mortgage,neutral,0.4241849184036255
LH,Labcorp Holdings Inc.,15.739699,1.836,5.21,21104955392,Healthcare,Diagnostics & Research,neutral,0.4241849184036255
LHX,"L3Harris Technologies, Inc.",18.254051,1.02,2.51,49106190336,Industrials,Aerospace & Defense,neutral,0.4241849184036255
